phrase	category
"During braking, there's a vibration in the steering wheel and a metallic noise from the front wheels. The discs show signs of irregular wear."	Brake System Defects
"The engine temperature rises rapidly to the red zone even on short trips. A green fluid leak is noticeable under the vehicle when parked."	Cooling System Anomalies
"Sharp knocks are heard when changing gears and the transmission fluid appears dark with a burnt smell. The clutch seems to slip under strain."	Transmission Problems
"The brake pedal gradually sinks when kept pressed. Traces of clear fluid are noticed near the wheels and the ABS light is on."	Brake System Defects
"The vehicle shows irregular idling and produces black smoke from the exhaust during acceleration. The injectors appear to be clogged."	Fuel System Problems
"The car doesn't respond correctly to electronic commands and dashboard warning lights turn on randomly. The control unit resets frequently."	Electrical/Electronic Failures
"The vehicle stalls when idling and hesitates before accelerating. The fuel gauge reading fluctuates and there's a strong gasoline smell around the car."	Fuel System Problems
"The steering wheel requires more effort to turn and a continuous whining noise is heard when turning. The power steering fluid reservoir is below minimum level with dark, dirty fluid."	Transmission Problems
"The vehicle pulls to one side during braking and the brake pedal feels spongy. The brake fluid appears contaminated with a dark color and small particles."	Brake System Defects
"The engine runs roughly after reaching operating temperature and the check engine light is constantly on. Fuel efficiency has dropped by 30% in recent weeks."	Fuel System Problems
"The radiator has visible corrosion and deposits. The heater doesn't provide warm air and the temperature gauge fluctuates erratiFcally during operation."	Cooling System Anomalies
"The engine backfires and hesitates during acceleration. The distributor cap shows carbon tracking and the ignition wires have visible cracks in the insulation."	Ignition System Malfunctions
"Dashboard instruments work intermittently and exterior lights flash without reason. The battery terminals show severe corrosion and the starter motor sometimes fails to engage."	Electrical/Electronic Failures
"The coolant mixes with oil, creating a milky substance visible on the dipstick. The exhaust emits white smoke and the engine temperature is consistently higher than normal."	Cooling System Anomalies
"The automatic transmission shifts gears at the wrong speeds and sometimes doesn't shift at all. There's a burning smell after driving and the transmission warning light is on."	Transmission Problems
"The engine cranks but doesn't start, especially in wet conditions. The distributor appears damp inside and spark plug wires show high resistance when tested."	Ignition System Malfunctions
"The fuel pump makes a loud whining noise and the engine loses power at high speeds. Fuel pressure tests show readings below manufacturer specifications."	Fuel System Problems
"The brake rotors have deep grooves and the pads are worn unevenly. The handbrake requires excessive movement before engaging and fails to hold on steeper inclines."	Brake System Defects
"Multiple electrical components fail simultaneously and the battery requires frequent jump starts. The voltage regulator test shows inconsistent readings and the charging system is ineffective."	Electrical/Electronic Failures
"The engine hesitates and stumbles during cold starts but improves after warming up. The fuel filter appears clogged and there's sediment in the fuel tank."	Fuel System Problems
"When accelerating uphill, the engine knocks loudly. The spark plugs show abnormal gaps and the ignition timing is off by several degrees when checked."	Ignition System Malfunctions
"The cooling fan doesn't activate even when the engine is hot. The thermostat appears to be stuck closed and the coolant hoses are soft and deteriorated."	Cooling System Anomalies
"The vehicle lurches forward when shifting from park to drive. The transmission dipstick shows low fluid levels and metal particles are visible in the fluid."	Transmission Problems
"Brake discs overheat after moderate use and there's a burning smell after stopping. The brake calipers don't release fully and remain partially engaged."	Brake System Defects
"There's an audible clicking when turning the ignition key but the starter doesn't engage. The solenoid tests positive for failure and the starter wiring shows signs of heat damage."	Electrical/Electronic Failures
"The car runs irregularly at highway speeds and the fuel pressure drops under load. The fuel injectors spray unevenly when tested and some are partially clogged."	Fuel System Problems
"The automatic transmission leaks fluid from the pan gasket and shifts are becoming increasingly harsh. The transmission fluid smells burnt and has a dark color with metal particles."	Transmission Problems
"The coolant reservoir boils over even in moderate temperatures. The water pump makes noise when rotating and the radiator cap fails to maintain proper pressure."	Cooling System Anomalies
"The vehicle has difficulty maintaining a stable idle. Compression tests show uneven readings across cylinders and the spark plug electrodes are fouled with carbon deposits."	Ignition System Malfunctions
"Multiple warning lights appear on the dashboard including check engine and battery. The main computer module shows signs of water damage and the wiring harness has corroded connectors."	Electrical/Electronic Failures
"The vehicle loses power when the air conditioning is turned on. The fuel pump cycles on and off audibly and the engine hesitates when under load."	Fuel System Problems
"The engine exhibits a ticking noise that increases with RPM. Valve adjustments are out of specification and the ignition coils show signs of arcing."	Ignition System Malfunctions
"The fuel gauge shows erratic readings and the engine sputters at high speeds. When the tank is nearly empty, the car stalls when turning corners."	Fuel System Problems
