phrase	category
"The engine has a severe vibration at idle which smooths out at higher RPMs. The motor mounts are broken and the ignition module overheats after extended operation."	Ignition System Malfunctions
"The vehicle's electronics reset when going over bumps. There are loose connections at the main ground points and corrosion at the battery terminals."	Electrical/Electronic Failures
"The engine temperature rises rapidly to the red zone even on short trips. A green fluid leak is noticeable under the vehicle when parked."	Cooling System Anomalies
"The engine runs hot and loses coolant, but there are no visible external leaks. A combustion leak test confirms a blown head gasket."	Cooling System Anomalies
"The vehicle stalls when idling and hesitates before accelerating. The fuel gauge reading fluctuates and there's a strong gasoline smell around the car."	Fuel System Problems
"The car pulls strongly to the right when braking. The left front brake caliper is partially seized and the brake hose is swollen, restricting fluid return."	Brake System Defects
"The vehicle's interior dome light flickers constantly. The door jamb switch is corroded and making a poor connection."	Electrical/Electronic Failures
"The engine fan runs continuously even after the engine is turned off. The coolant temperature sensor provides incorrect readings and has corroded terminals."	Cooling System Anomalies
"The engine backfires and hesitates during acceleration. The distributor cap shows carbon tracking and the ignition wires have visible cracks in the insulation."	Ignition System Malfunctions
"The vehicle's cabin heater produces only cool air even when the engine is at operating temperature. The heater control valve is stuck closed and the thermostat is opening too early."	Cooling System Anomalies
"The engine exhibits detonation under load, particularly during hot weather. The EGR valve is stuck open and the knock sensor has failed to detect pre-ignition."	Ignition System Malfunctions
"The vehicle lurches forward when shifting from park to drive. The transmission dipstick shows low fluid levels and metal particles are visible in the fluid."	Transmission Problems
"The engine has a persistent high idle. A vacuum leak is found in the intake manifold gasket, causing unmetered air to enter the engine."	Fuel System Problems
"The car runs irregularly at highway speeds and the fuel pressure drops under load. The fuel injectors spray unevenly when tested and some are partially clogged."	Fuel System Problems
"The vehicle has difficulty maintaining a stable idle. Compression tests show uneven readings across cylinders and the spark plug electrodes are fouled with carbon deposits."	Ignition System Malfunctions
"The engine exhibits a ticking noise that increases with RPM. Valve adjustments are out of specification and the ignition coils show signs of arcing."	Ignition System Malfunctions
"The brake pedal gradually sinks to the floor during prolonged stops at traffic lights. The master cylinder internal seals are leaking past the primary cup."	Brake System Defects
"The vehicle loses power when the air conditioning is turned on. The fuel pump cycles on and off audibly and the engine hesitates when under load."	Fuel System Problems
"The engine misfires on startup and smooths out after a few minutes. The spark plugs are worn, with electrodes eroded to a sharp point."	Ignition System Malfunctions
"The engine stumbles specifically at 3000 RPM but runs smoothly above and below this speed. The ignition module cuts out when it reaches operating temperature."	Ignition System Malfunctions
"The vehicle's anti-theft system engages randomly, preventing the engine from starting. The transponder chip in the ignition key is faulty."	Electrical/Electronic Failures
"The fuel pump makes a loud whining noise and the engine loses power at high speeds. Fuel pressure tests show readings below manufacturer specifications."	Fuel System Problems
"The engine stalls when coming to a stop. The idle air control valve is clogged with carbon and cannot regulate the engine's idle speed."	Fuel System Problems
"The car overheats when stuck in traffic but maintains normal temperature on the highway. The cooling fan clutch is seized and doesn't engage properly."	Cooling System Anomalies
"The vehicle shudders when accelerating from a stop. The universal joints in the driveshaft are worn and have excessive play."	Transmission Problems
"The automatic transmission leaks fluid from the pan gasket and shifts are becoming increasingly harsh. The transmission fluid smells burnt and has a dark color with metal particles."	Transmission Problems
"The engine has a consistent misfire on one cylinder. The ignition coil for that cylinder has failed and is not producing a spark."	Ignition System Malfunctions
"The vehicle struggles to shift into reverse. The reverse gear idler is chipped and the shift linkage is out of adjustment."	Transmission Problems
"The brake booster provides insufficient assistance, requiring much greater pedal force than normal. The vacuum line is cracked and the check valve is stuck."	Brake System Defects
"The power windows operate at different speeds and sometimes reverse direction. The window regulators have bent tracks and the motors draw excessive current."	Electrical/Electronic Failures
"The engine runs roughly after reaching operating temperature and the check engine light is constantly on. Fuel efficiency has dropped by 30% in recent weeks."	Fuel System Problems
"The coolant reservoir boils over even in moderate temperatures. The water pump makes noise when rotating and the radiator cap fails to maintain proper pressure."	Cooling System Anomalies
"The car doesn't respond correctly to electronic commands and dashboard warning lights turn on randomly. The control unit resets frequently."	Electrical/Electronic Failures
"The vehicle shows irregular idling and produces black smoke from the exhaust during acceleration. The injectors appear to be clogged."	Fuel System Problems
"The dashboard lights flicker at highway speeds and the alternator output is inconsistent when tested. The voltage regulator is failing intermittently."	Electrical/Electronic Failures
"The transmission is slow to engage when shifting from park to drive. There's a delay of several seconds before the vehicle moves and a clunking noise can be heard."	Transmission Problems
"The engine has a rough idle and poor fuel economy. The EGR valve is stuck open, causing exhaust gas to constantly flow into the intake."	Ignition System Malfunctions
"The fuel gauge shows erratic readings and the engine sputters at high speeds. When the tank is nearly empty, the car stalls when turning corners."	Fuel System Problems
"The horn sounds continuously without being pressed. The steering wheel clock spring is damaged and multiple electrical shorts are detected in the steering column."	Electrical/Electronic Failures
"The engine temperature gauge never reaches the normal operating range. The thermostat is stuck open, causing the engine to run too cool."	Cooling System Anomalies
"The vehicle pulls to one side during braking and the brake pedal feels spongy. The brake fluid appears contaminated with a dark color and small particles."	Brake System Defects
"The parking brake fails to hold the vehicle on modest inclines. The cables are stretched and the rear brake shoe adjusters are seized from corrosion."	Brake System Defects
"The transmission fluid is leaking from the front pump seal. There's a red puddle under the vehicle after parking and the fluid needs frequent topping up."	Transmission Problems
"The radiator has visible corrosion and deposits. The heater doesn't provide warm air and the temperature gauge fluctuates erratiFcally during operation."	Cooling System Anomalies
"The brake pedal gradually sinks when kept pressed. Traces of clear fluid are noticed near the wheels and the ABS light is on."	Brake System Defects
"The car has significantly reduced power and black smoke comes from the exhaust. The fuel filter is completely clogged and the return line is kinked."	Fuel System Problems
"The CV joints make a clicking noise when turning and the transmission fluid is contaminated with metal particles. The differential bearings show abnormal wear patterns."	Transmission Problems
"The dashboard warning lights stay on after starting. The instrument cluster has faulty circuits and the data communication bus has intermittent faults."	Electrical/Electronic Failures
"The engine cranks but doesn't start, especially in wet conditions. The distributor appears damp inside and spark plug wires show high resistance when tested."	Ignition System Malfunctions
"The coolant mixes with oil, creating a milky substance visible on the dipstick. The exhaust emits white smoke and the engine temperature is consistently higher than normal."	Cooling System Anomalies
"The automatic transmission shifts gears at the wrong speeds and sometimes doesn't shift at all. There's a burning smell after driving and the transmission warning light is on."	Transmission Problems
"The power locks activate randomly and the alarm goes off without reason. The body control module shows error codes and the remote key fob works inconsistently."	Electrical/Electronic Failures
"The vehicle hesitates when accelerating from a stop and the check engine light flashes during this hesitation. The fuel pressure regulator is leaking when examined."	Fuel System Problems
"The brake rotors have deep grooves and the pads are worn unevenly. The handbrake requires excessive movement before engaging and fails to hold on steeper inclines."	Brake System Defects
"The transfer case makes a howling noise in four-wheel drive mode. The fluid is contaminated and the chain has stretched beyond serviceable limits."	Transmission Problems
"The battery won't hold a charge for more than a few days. There's a constant drain on the system even when the vehicle is off, and the alternator belt is loose."	Electrical/Electronic Failures
"The manual transmission grinds when shifting into third gear. The synchronizer rings are worn and the shift fork is bent from previous hard shifting."	Transmission Problems
"The camshaft lobes show excessive wear and the valve clearances are out of specification. The oil pressure is low at idle, affecting the variable valve timing system."	Ignition System Malfunctions
"The vehicle runs extremely rich with black sooty residue around the tailpipe. The mass airflow sensor is contaminated and providing false readings."	Fuel System Problems
"The ignition coil has visible cracks and the engine has a rough idle. Starting requires multiple attempts and there's a noticeable delay between turning the key and engine firing."	Ignition System Malfunctions
"The central locking system works intermittently. The actuator in the driver's door is failing and sometimes does not respond to commands."	Electrical/Electronic Failures
"The driver's side floor mat is damp with coolant. The heater core is leaking and there's a sweet smell inside the cabin when the heating is on."	Cooling System Anomalies
"The water pump is making a grinding noise and the bearings have excessive play. Coolant is leaking where the pump meets the engine block."	Cooling System Anomalies
"The pedal goes all the way to the floor before brakes engage. There's air in the brake lines and the proportioning valve is sticking when tested."	Brake System Defects
"The engine hesitates and stumbles during cold starts but improves after warming up. The fuel filter appears clogged and there's sediment in the fuel tank."	Fuel System Problems
"The transmission makes a whining noise that increases with vehicle speed. The planetary gear set is damaged due to fluid starvation."	Transmission Problems
"The exhaust emits a strong smell of unburned fuel and the oxygen sensor readings are outside normal parameters. The fuel injectors pulse irregularly when monitored."	Fuel System Problems
"The steering wheel requires more effort to turn and a continuous whining noise is heard when turning. The power steering fluid reservoir is below minimum level with dark, dirty fluid."	Transmission Problems
"The cooling fan doesn't activate even when the engine is hot. The thermostat appears to be stuck closed and the coolant hoses are soft and deteriorated."	Cooling System Anomalies
"The spark plug wires are arcing visibly at night and there's a misfire that moves between different cylinders. The distributor rotor shows excessive wear."	Ignition System Malfunctions
"The camshaft timing is retarded due to a stretched timing chain. The engine lacks power at high RPM and has difficulty maintaining highway speeds on inclines."	Ignition System Malfunctions
"The radiator fins are blocked with debris and many are bent or damaged. The coolant recovery tank is cracked and leaking when the system is under pressure."	Cooling System Anomalies
"The brake warning light flickers during hard turns. The brake fluid level is low due to a slow leak at a rear wheel cylinder."	Brake System Defects
"The car makes a high-pitched squealing noise when braking. The brake pads are worn down to the metal and the rotors show heat discoloration."	Brake System Defects
"Multiple electrical components fail simultaneously and the battery requires frequent jump starts. The voltage regulator test shows inconsistent readings and the charging system is ineffective."	Electrical/Electronic Failures
"The transmission slips between second and third gear, especially under heavy acceleration. The transmission control module shows errors related to solenoid function."	Transmission Problems
