phrase	category
"The vehicle's electronics reset when going over bumps. There are loose connections at the main ground points and corrosion at the battery terminals."	Electrical/Electronic Failures
"The engine temperature rises rapidly to the red zone even on short trips. A green fluid leak is noticeable under the vehicle when parked."	Cooling System Anomalies
"The engine runs hot and loses coolant, but there are no visible external leaks. A combustion leak test confirms a blown head gasket."	Cooling System Anomalies
"The vehicle stalls when idling and hesitates before accelerating. The fuel gauge reading fluctuates and there's a strong gasoline smell around the car."	Fuel System Problems
"The car pulls strongly to the right when braking. The left front brake caliper is partially seized and the brake hose is swollen, restricting fluid return."	Brake System Defects
"The air conditioning compressor clutch cycles on and off rapidly. The system is low on refrigerant due to a leak in the condenser."	Cooling System Anomalies
"The vehicle's interior dome light flickers constantly. The door jamb switch is corroded and making a poor connection."	Electrical/Electronic Failures
"The engine fan runs continuously even after the engine is turned off. The coolant temperature sensor provides incorrect readings and has corroded terminals."	Cooling System Anomalies
"The engine backfires and hesitates during acceleration. The distributor cap shows carbon tracking and the ignition wires have visible cracks in the insulation."	Ignition System Malfunctions
"The vehicle's cabin heater produces only cool air even when the engine is at operating temperature. The heater control valve is stuck closed and the thermostat is opening too early."	Cooling System Anomalies
"The engine exhibits detonation under load, particularly during hot weather. The EGR valve is stuck open and the knock sensor has failed to detect pre-ignition."	Ignition System Malfunctions
"The vehicle lurches forward when shifting from park to drive. The transmission dipstick shows low fluid levels and metal particles are visible in the fluid."	Transmission Problems
"The brake pedal vibrates violently during stops from highway speeds. The rotors are warped from excessive heat due to a sticking caliper."	Brake System Defects
"The dashboard warning lights stay on after starting. The instrument cluster has faulty circuits and the data communication bus has intermittent faults."	Electrical/Electronic Failures
"The engine has a persistent high idle. A vacuum leak is found in the intake manifold gasket, causing unmetered air to enter the engine."	Fuel System Problems
"Sharp knocks are heard when changing gears and the transmission fluid appears dark with a burnt smell. The clutch seems to slip under strain."	Transmission Problems
"The car runs irregularly at highway speeds and the fuel pressure drops under load. The fuel injectors spray unevenly when tested and some are partially clogged."	Fuel System Problems
"The vehicle has difficulty maintaining a stable idle. Compression tests show uneven readings across cylinders and the spark plug electrodes are fouled with carbon deposits."	Ignition System Malfunctions
"The engine exhibits a ticking noise that increases with RPM. Valve adjustments are out of specification and the ignition coils show signs of arcing."	Ignition System Malfunctions
"The brake pedal gradually sinks to the floor during prolonged stops at traffic lights. The master cylinder internal seals are leaking past the primary cup."	Brake System Defects
"The engine hesitates momentarily when the air conditioning compressor engages. The idle speed control cannot compensate due to carbon buildup and ignition timing fluctuations."	Ignition System Malfunctions
"There's a howling noise from the rear of the vehicle that changes with speed. The differential ring and pinion gears have improper backlash adjustment."	Transmission Problems
"The brake fluid in the reservoir is dark brown and the pedal feels spongy. The fluid is contaminated with moisture leading to corrosion in the brake lines."	Brake System Defects
"The water pump belt squeals loudly when the engine is started cold. The water pump bearings are failing and creating misalignment with the pulley."	Cooling System Anomalies
"Multiple electrical accessories fail simultaneously when going over bumps. The main fuse block has loose connections and corrosion on several terminals."	Electrical/Electronic Failures
"The engine has a severe flat spot in acceleration between 2000-2500 RPM. The intermediate jet in the carburetor is clogged with varnish deposits."	Fuel System Problems
"The car has a severe misfire in cylinder 3 regardless of switching components with other cylinders. The valve timing is incorrect due to a stretched timing chain."	Ignition System Malfunctions
"The manual transmission makes a rattling noise when the clutch is engaged. The input shaft bearing is worn allowing excessive shaft movement."	Transmission Problems
"The emergency brake warning light stays on even when the brake is released. The switch mechanism is broken and the cables need adjustment due to stretching."	Brake System Defects
"Engine temperature rises normal but then suddenly spikes to critical levels. The cooling system is partially blocked by rust and scale buildup in the radiator tubes."	Cooling System Anomalies
"The vehicle's starter cranks very slowly on the first start of the day but works normally for subsequent starts. The battery terminals are coated with corrosion restricting current flow."	Electrical/Electronic Failures
"The vehicle frequently stalls when making right turns but not left turns. The fuel in the tank is below one-quarter and the pickup is being uncovered during turns."	Fuel System Problems
"The engine backfires through the intake manifold during deceleration. The ignition timing is excessively advanced and the knock sensor circuit is open."	Ignition System Malfunctions
"The overdrive gear engages and disengages randomly while cruising. The overdrive solenoid has intermittent electrical connectivity and the wiring harness connector is corroded."	Transmission Problems
