Timestamp;Test mode;Model;Process_time(s);train_accuracy;Num Epochs;Eval Loss;Train Loss;eval_accuracy
2025-07-24/18:50:43;zero;gemma3_1b_trained_60;73.70807609999974;;1;2.1397509574890137;;
2025-07-24/18:54:09;zero;gemma3_1b_trained_60;82.08404249999876;;2;1.4106262922286987;;
2025-07-24/18:58:06;zero;gemma3_1b_trained_60;93.9943553000012;;3;1.2209229469299316;;
2025-07-24/19:01:59;zero;gemma3_1b_trained_60;80.39780410000094;;4;1.146559715270996;;
2025-07-24/19:06:03;zero;gemma3_1b_trained_60;74.10281210000176;;5;1.1085313558578491;;
2025-07-24/19:10:15;zero;gemma3_1b_trained_60;72.07188569999926;;6;1.0917048454284668;;
2025-07-24/19:14:42;zero;gemma3_1b_trained_60;71.62868859999799;;7;1.1769826412200928;;
2025-07-24/19:19:25;zero;gemma3_1b_trained_60;72.38649679999799;;8;1.2758642435073853;;
2025-07-24/19:24:22;zero;gemma3_1b_trained_60;71.42949270000099;;9;1.46577787399292;;
2025-07-24/19:29:41;zero;gemma3_1b_trained_60;74.70314000000144;;10;1.590486764907837;;
2025-07-24/19:34:56;zero;gemma2_trained_60;84.49681070000224;;1;1.319545865058899;;
2025-07-24/19:38:23;zero;gemma2_trained_60;62.47305049999704;;2;1.0739545822143557;;
2025-07-24/19:41:59;zero;gemma2_trained_60;61.587228200001846;;3;1.0095314979553225;;
2025-07-24/19:45:50;zero;gemma2_trained_60;61.617236799997045;;4;0.9263813495635986;;
2025-07-24/19:49:57;zero;gemma2_trained_60;61.2819410000011;;5;1.0367445945739746;;
2025-07-24/19:57:03;zero;gemma2_trained_60;66.09821409999859;;6;1.1715264320373535;;
2025-07-24/20:05:22;zero;gemma2_trained_60;134.98821679999674;;7;1.408414363861084;;
2025-07-30/17:24:12;zero;gemma3_1b_trained_60;147.86205859999973;;1;2.167459726333618;3.146138906478882;
2025-07-30/17:28:58;zero;gemma3_1b_trained_60;166.3469741000008;;2;1.4121036529541016;2.2691197395324707;
2025-07-30/17:34:17;zero;gemma3_1b_trained_60;177.4200458000014;;3;1.220043420791626;1.7974894444147749;
2025-07-30/18:14:58;zero;gemma3_1b_trained_60;44.85723009999856;95.0;1;2.1381607055664062;3.1301443576812744;
2025-07-30/18:17:53;zero;gemma3_1b_trained_60;51.44481399999859;95.0;2;1.4121036529541016;2.2691197395324707;
2025-07-30/18:21:08;zero;gemma3_1b_trained_60;53.02794740000172;96.67;3;1.220043420791626;1.7974894444147749;
2025-07-30/18:24:42;zero;gemma3_1b_trained_60;49.82502799999929;96.67;4;1.1449586153030396;1.5237449407577517;
2025-07-30/18:28:25;zero;gemma3_1b_trained_60;44.49550300000192;98.33;5;1.1112185716629028;1.3238788723945618;
2025-07-30/18:32:37;zero;gemma3_1b_trained_60;44.36363130000245;95.0;1;2.155456066131592;3.139119863510132;
2025-07-30/18:35:28;zero;gemma3_1b_trained_60;47.58225550000134;95.0;2;1.4121036529541016;2.2691197395324707;
2025-07-30/18:38:37;zero;gemma3_1b_trained_60;49.8092527000008;96.67;3;1.220043420791626;1.7974894444147749;
2025-07-30/18:42:00;zero;gemma3_1b_trained_60;47.141789000001154;96.67;4;1.1449586153030396;1.5237449407577517;
2025-07-30/18:45:39;zero;gemma3_1b_trained_60;44.06123540000044;98.33;5;1.1112185716629028;1.3238788723945618;
2025-07-30/18:49:44;zero;gemma3_1b_trained_60;48.02321419999862;100.0;6;1.0916839838027954;1.1595303912957509;
2025-07-30/18:54:05;zero;gemma3_1b_trained_60;42.81081610000183;100.0;7;1.1743448972702026;1.0246471805231911;
2025-07-30/18:58:32;zero;gemma3_1b_trained_60;42.70022840000093;100.0;8;1.272612452507019;0.910153828561306;
2025-07-30/19:03:15;zero;gemma3_1b_trained_60;42.65012109999952;98.33;9;1.4453849792480469;0.8105153673224978;
2025-07-30/19:08:22;zero;gemma3_1b_trained_60;45.20609949999925;100.0;10;1.573182463645935;0.7267380267381668;
2025-07-30/19:14:07;zero;gemma3_1b_trained_60;51.56588080000074;100.0;11;1.6641281843185425;0.6594364209608599;
2025-07-31/10:37:55;zero;gemma3_1b_trained_60;56.31191720000015;95.0;1;2.1543705463409424;3.137955665588379;88.88888888888889
2025-07-31/10:40:55;zero;gemma3_1b_trained_60;62.26015439999992;95.0;2;1.4121036529541016;2.2691197395324707;88.88888888888889
2025-07-31/10:44:22;zero;gemma3_1b_trained_60;68.58565549999958;96.66666666666669;3;1.220043420791626;1.7974894444147749;94.44444444444444
2025-07-31/10:47:56;zero;gemma3_1b_trained_60;61.69975239999985;96.66666666666669;4;1.1449586153030396;1.5237449407577517;83.33333333333334
2025-07-31/10:51:46;zero;gemma3_1b_trained_60;59.22678309999992;98.33333333333331;5;1.1112185716629028;1.3238788723945618;88.88888888888889
2025-07-31/10:55:45;zero;gemma3_1b_trained_60;55.100239099999726;100.0;6;1.0916839838027954;1.1595303912957509;100.0
2025-07-31/10:59:53;zero;gemma3_1b_trained_60;55.07444479999958;100.0;7;1.1743448972702026;1.0246471805231911;100.0
2025-07-31/11:04:19;zero;gemma3_1b_trained_60;54.83827100000053;100.0;8;1.272612452507019;0.910153828561306;100.0
2025-07-31/11:09:00;zero;gemma3_1b_trained_60;55.43622959999993;98.33333333333331;9;1.4453849792480469;0.8105153673224978;100.0
2025-07-31/11:13:57;zero;gemma3_1b_trained_60;55.68514690000029;100.0;10;1.573182463645935;0.7267380267381668;94.44444444444444
2025-07-31/11:19:12;zero;gemma3_1b_trained_60;55.09119080000073;100.0;11;1.6641281843185425;0.6594364209608599;94.44444444444444
2025-07-31/11:26:54;zero;gemma3_1b_trained_60;96.62023370000044;100.0;12;1.692370891571045;0.6055098722378413;100.0
2025-07-31/11:32:57;zero;gemma3_1b_trained_60;59.16618999999992;100.0;13;1.708240032196045;0.5600505786446425;100.0
2025-07-31/11:39:16;zero;gemma3_1b_trained_60;55.92016129999956;98.33333333333331;14;1.7257521152496338;0.5218263837907996;100.0
2025-07-31/11:46:12;zero;gemma3_1b_trained_60;55.36143369999991;100.0;15;1.7395559549331665;0.4900593844552834;100.0
2025-07-31/12:09:08;zero;gemma2_trained_60;61.12622229999943;96.66666666666669;1;1.3089826107025146;2.2815425395965576;88.88888888888889
2025-07-31/12:12:18;zero;gemma2_trained_60;48.30495489999885;96.66666666666669;2;1.075368046760559;1.5880470275878906;88.88888888888889
2025-07-31/12:15:35;zero;gemma2_trained_60;47.53025929999967;100.0;3;1.0113794803619385;1.2812225421269734;88.88888888888889
2025-07-31/12:19:08;zero;gemma2_trained_60;47.79770559999815;100.0;4;0.9268004298210144;1.0585650503635406;94.44444444444444
2025-07-31/12:22:55;zero;gemma2_trained_60;47.57214480000039;100.0;5;1.0294984579086304;0.8722179949283599;94.44444444444444
2025-07-31/12:28:28;zero;gemma2_trained_60;50.150631800001065;100.0;6;1.1673550605773926;0.733068029085795;88.88888888888889
2025-07-31/12:35:59;zero;gemma2_trained_60;101.14532730000064;100.0;7;1.3995600938796997;0.6290026328393391;94.44444444444444
